,tour,place,prize,team
1433,Electronic Sports World Cup 2011,3,"$4,000",GamersLeague
1434,Electronic Sports World Cup 2011,3,"$4,000",monkeybusiness
1435,Electronic Sports World Cup 2011,3,"$4,000",Moscow Five
1436,Electronic Sports World Cup 2011,3,"$4,000",NEXT.kz
1437,Electronic Sports World Cup 2011,3,"$4,000",Virus Gaming
1438,Electronic Sports World Cup 2011,3,"$4,000",BX3 eSports Club
1439,Electronic Sports World Cup 2011,3,"$4,000",Storm Games Clan
1440,Electronic Sports World Cup 2011,3,"$4,000",Orange Esports
1441,Electronic Sports World Cup 2011,3,"$4,000",Lias Gaming
1442,Electronic Sports World Cup 2011,3,"$4,000",BLAST
1443,The International 2011,1,"$1,000,000",Natus Vincere
1444,The International 2011,2,"$250,000",EHOME
1445,The International 2011,3,"$150,000",Scythe Gaming
1446,The International 2011,4,"$80,000",Meet Your Makers
1447,The International 2011,5,"$35,000",Moscow Five
1448,The International 2011,5,"$35,000",Invictus Gaming
1449,The International 2011,7,"$25,000",Nirvana.int
1450,The International 2011,7,"$25,000",MiTH.Trust
1451,The International 2011,7,"$25,000",Virus Gaming
1452,The International 2011,7,"$25,000",TyLoo
1453,The International 2011,7,"$25,000",Mineski
1454,The International 2011,7,"$25,000",MUFC
1455,The International 2011,7,"$25,000",Storm Games Clan
1456,The International 2011,7,"$25,000",GosuGamers
1457,The International 2011,7,"$25,000",OK.Nirvana.cn
1458,The International 2011,7,"$25,000",Next Evolution
